Subachoque,17712,2,"0,01%"
Suesca,19113,3,"0,02%"
Supatá,5037,0,"0,00%"
Susa,13804,1,"0,01%"
Sutatausa,5964,0,"0,00%"
Tabio,30419,1,"0,00%"
Tausa,9287,1,"0,01%"
Tena,9638,2,"0,02%"
Tenjo,20371,0,"0,00%"
Tibacuy,4827,0,"0,00%"
Tibirita,2939,0,"0,00%"
Tocaima,18885,0,"0,00%"
Tocancipá,36344,0,"0,00%"
Topaipí,4462,2,"0,04%"
Ubalá,10071,1,"0,01%"
Ubaque,5804,0,"0,00%"
Villa de San Diego de Ubate,39728,4,"0,01%"
Une,9794,0,"0,00%"
Útica,5050,1,"0,02%"
Vergara,7746,0,"0,00%"
Vianí,4253,0,"0,00%"
Villagómez,2167,0,"0,00%"
Villapinzón,21380,1,"0,00%"
Villeta,25741,2,"0,01%"
Viotá,13304,1,"0,01%"
Yacopí,17204,2,"0,01%"
Zipacón,5862,0,"0,00%"
Zipaquirá,132419,6,"0,00%"
Quibdó,116322,0,"0,00%"
Acandí,9160,1,"0,01%"
Alto Baudo,41785,1,"0,00%"
Atrato,11337,3,"0,03%"
Bagadó,7844,1,"0,01%"
Bahía Solano,9450,1,"0,01%"
Bajo Baudó,17948,2,"0,01%"
Bojaya,10135,0,"0,00%"
El Cantón del San Pablo,9011,0,"0,00%"
Carmen del Darien,5603,0,"0,00%"
Cértegui,10274,1,"0,01%"
Condoto,15502,0,"0,00%"
El Carmen de Atrato,15264,0,"0,00%"
El Litoral del San Juan,17265,0,"0,00%"
Istmina,26133,4,"0,02%"
Juradó,3188,0,"0,00%"
Lloró,11637,2,"0,02%"
Medio Atrato,34617,0,"0,00%"
Medio Baudó,14551,1,"0,01%"
Medio San Juan,18268,2,"0,01%"
Nóvita,7960,0,"0,00%"
Nuquí,9068,4,"0,04%"
Río Iro,10580,0,"0,00%"
Río Quito,9512,0,"0,00%"
Riosucio(2),29103,0,"0,00%"
San José del Palmar,4689,0,"0,00%"
Sipí,4336,0,"0,00%"
Tadó,19233,3,"0,02%"
Unguía,15367,0,"0,00%"
Unión Panamericana,10386,1,"0,01%"
Neiva,350457,24,"0,01%"
Acevedo,36649,4,"0,01%"
Agrado,9329,1,"0,01%"
Aipe,29940,0,"0,00%"
Algeciras,24750,0,"0,00%"
Altamira,4704,0,"0,00%"
Baraya,9782,0,"0,00%"
Campoalegre,35057,5,"0,01%"
Colombia,13013,0,"0,00%"
Elías,4274,0,"0,00%"
Garzón,98383,7,"0,01%"
Gigante,36055,0,"0,00%"
Guadalupe,23275,4,"0,02%"
Hobo,7066,1,"0,01%"
Iquira,13832,0,"0,00%"
Isnos,28877,3,"0,01%"
La Argentina,15327,0,"0,00%"
La Plata,68372,1,"0,00%"
Nátaga,6594,0,"0,00%"
Oporapa,15151,0,"0,00%"
Paicol,5779,1,"0,02%"
Palermo,35569,0,"0,00%"
Palestina,12199,3,"0,02%"
Pital,14111,0,"0,00%"
Pitalito,138229,10,"0,01%"
Rivera,19751,3,"0,02%"
Saladoblanco,12053,0,"0,00%"
San Agustín,34420,4,"0,01%"
Santa María,11844,1,"0,01%"
Suaza,21677,3,"0,01%"
Tarqui,18437,1,"0,01%"
Tesalia,9397,0,"0,00%"
Tello,14627,3,"0,02%"
Teruel,8960,1,"0,01%"
Timaná,20503,0,"0,00%"
Villavieja,7302,2,"0,03%"
Yaguará,9515,0,"0,00%"
Riohacha,304987,12,"0,00%"
Albania,28870,2,"0,01%"
Barrancas,38232,1,"0,00%"
Dibulla,39069,0,"0,00%"
Distracción,17404,0,"0,00%"
El Molino,9203,0,"0,00%"
Fonseca,35611,3,"0,01%"
Hatonuevo,29613,0,"0,00%"
La Jagua del Pilar,3368,0,"0,00%"
Maicao,168658,12,"0,01%"
Manaure,124619,0,"0,00%"
San Juan del Cesar,40069,3,"0,01%"
Uribia,205051,0,"0,00%"
Urumita,20035,1,"0,00%"
Villanueva,28944,5,"0,02%"
Santa Marta,524031,69,"0,01%"
Algarrobo,13043,1,"0,01%"
Aracataca,41872,2,"0,00%"
Ariguaní,32758,5,"0,02%"
Cerro San Antonio,7656,1,"0,01%"
Chivolo,15714,0,"0,00%"
Ciénaga,105807,13,"0,01%"
Concordia,9208,2,"0,02%"
El Banco,56255,8,"0,01%"
El Piñon,16709,1,"0,01%"
El Retén,22324,1,"0,00%"
Fundación,57677,20,"0,03%"
Guamal,28541,3,"0,01%"
Nueva Granada,22121,1,"0,00%"
Pedraza,8137,1,"0,01%"
Pijiño del Carmen,16880,0,"0,00%"
Pivijay,33047,2,"0,01%"
Plato,62904,11,"0,02%"
Puebloviejo,33720,0,"0,00%"
Remolino,7882,0,"0,00%"
Sabanas de San Angel,18116,0,"0,00%"
Salamina,6560,2,"0,03%"
San Sebastián de Buenavista,17630,3,"0,02%"
San Zenón,9229,1,"0,01%"
Santa Ana,27615,1,"0,00%"
Santa Bárbara de Pinto,13481,0,"0,00%"
Sitionuevo,33440,3,"0,01%"
Tenerife,12204,0,"0,00%"
Zapayán,8974,1,"0,01%"
Zona Bananera,62806,4,"0,01%"
Villavicencio,538527,48,"0,01%"
Acacías,76873,3,"0,00%"
Barranca de Upía,4342,3,"0,07%"
Cabuyaro,4177,0,"0,00%"
Castilla la Nueva,11112,0,"0,00%"
Cubarral,6341,1,"0,02%"
Cumaral,18619,4,"0,02%"
El Calvario,2209,0,"0,00%"
El Castillo,6068,0,"0,00%"
El Dorado,3462,1,"0,03%"
Fuente de Oro,14361,3,"0,02%"
Granada,68446,4,"0,01%"
Guamal,9542,3,"0,03%"
Mapiripán,19435,0,"0,00%"
Mesetas,11589,5,"0,04%"
La Macarena,37804,2,"0,01%"
Uribe,18129,1,"0,01%"
Lejanías,9229,7,"0,08%"
Puerto Concordia,23708,2,"0,01%"
Puerto Gaitán,19113,15,"0,08%"
Puerto López,35499,3,"0,01%"
Puerto Lleras,9264,0,"0,00%"
Puerto Rico,19016,1,"0,01%"
Restrepo,10715,9,"0,08%"
San Carlos de Guaroa,11474,4,"0,03%"
San Juan de Arama,8657,0,"0,00%"
San Juanito,2292,0,"0,00%"
San Martín,26197,7,"0,03%"
Vistahermosa,27671,0,"0,00%"
Pasto,465148,26,"0,01%"
Albán,23541,0,"0,00%"
Aldana,5685,0,"0,00%"
Ancuyá,6244,0,"0,00%"
Arboleda,7586,1,"0,01%"
Barbacoas,42193,5,"0,01%"
Belén,7970,0,"0,00%"
Buesaco,26505,1,"0,00%"
Colón,10296,3,"0,03%"
Consaca,8887,0,"0,00%"
Contadero,7080,0,"0,00%"
Córdoba,14131,1,"0,01%"
Cuaspud,8810,0,"0,00%"
Cumbal,41205,0,"0,00%"
Cumbitara,17550,0,"0,00%"
Chachagüí,14202,0,"0,00%"
El Charco,44035,0,"0,00%"
El Peñol,6311,0,"0,00%"
El Rosario,9536,0,"0,00%"
El Tablón de Gómez,12111,3,"0,02%"
El Tambo,11344,6,"0,05%"
Funes,6239,0,"0,00%"
Guachucal,14979,0,"0,00%"
Guaitarilla,11156,0,"0,00%"
Gualmatán,5788,0,"0,00%"
Iles,9116,0,"0,00%"
Imués,5664,0,"0,00%"
Ipiales,154767,3,"0,00%"
La Cruz,18313,1,"0,01%"
La Florida,9203,0,"0,00%"
La Llanada,5397,0,"0,00%"
La Tola,15436,0,"0,00%"
La Unión,25048,8,"0,03%"
Leiva,14878,1,"0,01%"
Linares,9183,0,"0,00%"
Los Andes,21238,5,"0,02%"
Magüi,26146,1,"0,00%"
Mallama,7052,0,"0,00%"
Mosquera,18840,5,"0,03%"
Nariño,5202,0,"0,00%"
Olaya Herrera,33132,8,"0,02%"
Ospina,8890,0,"0,00%"
Francisco Pizarro,17455,2,"0,01%"
Policarpa,18408,3,"0,02%"
Potosí,11591,4,"0,03%"
Providencia,13998,2,"0,01%"
Puerres,8034,0,"0,00%"
Pupiales,19735,0,"0,00%"
Ricaurte,20784,0,"0,00%"
Roberto Payán,26163,3,"0,01%"
Samaniego,49085,3,"0,01%"
